timestamp,source_ip,dest_ip,protocol,port,bytes,packets,duration,is_attack,attack_type
2025-01-01 04:27:57.498349,192.168.48.103,10.0.224.46,UDP,11989,1823.9464857955954,170,23.019426274230696,0,
2025-01-01 15:40:30.498682,172.16.217.155,172.16.126.38,TCP,56975,3665.7538185161843,65,28.544068005624588,0,
2025-01-01 08:43:08.498795,192.168.51.119,172.16.124.177,TCP,42751,2769.2265345098795,137,12.82703771134515,0,
2025-01-01 00:06:24.498883,172.16.245.116,172.16.9.143,UDP,36033,946.7356209275255,73,-2.4251909912153486,0,
2025-01-01 09:37:27.498964,192.168.62.244,10.0.7.100,UDP,34029,1538.18818575939,175,1.1510780179166558,0,
2025-01-01 11:21:19.499046,172.16.104.234,192.168.254.86,TCP,47781,1119.2715548191393,93,7.679816690555052,0,
2025-01-01 05:13:30.499126,10.0.69.63,10.0.20.86,TCP,12939,2045.6314688513662,67,24.470428812999756,0,
2025-01-01 07:34:17.499228,192.168.87.48,10.0.111.183,TCP,54721,1740.1913624454091,35,51.29207425553153,0,
2025-01-01 15:31:45.499374,172.16.200.165,172.16.182.52,TCP,5024,776.7599008973625,98,6.764067323011479,0,
2025-01-01 01:06:55.499463,10.0.138.80,192.168.124.175,TCP,34799,2174.6374395054595,129,60.68191171635714,0,
2025-01-01 11:30:22.499594,10.0.29.112,192.168.200.92,UDP,34073,194.98217629138912,161,6.212199885628578,0,
2025-01-01 10:31:40.499740,192.168.166.173,172.16.27.239,TCP,46447,1568.1130943538813,26,21.213925928689257,0,
2025-01-01 01:45:28.499827,172.16.216.125,10.0.169.74,TCP,15068,2460.8331348504053,15,104.50899534150697,0,
2025-01-01 16:20:50.499908,192.168.186.39,192.168.39.231,TCP,1574,3439.968210944102,13,13.296273907927638,0,
2025-01-01 06:28:01.499988,192.168.94.9,10.0.48.48,TCP,48361,2978.526952338945,64,36.098645077856595,0,
2025-01-01 19:00:08.500107,172.16.19.101,10.0.36.157,TCP,19641,369.1896464280412,159,24.295149323727106,0,
2025-01-01 20:25:09.500210,10.0.199.98,10.0.197.168,TCP,37447,1436.416197106618,195,16.38533762173972,0,
2025-01-01 16:19:44.500291,172.16.164.78,10.0.207.148,TCP,6327,1932.921302308727,187,8.081909700634409,0,
2025-01-01 02:49:11.500431,10.0.223.31,10.0.198.56,TCP,1560,596.4905599347696,196,-4.108896284891623,0,
2024-12-31 21:36:23.500579,172.16.115.224,192.168.223.91,TCP,26276,898.0490320052157,8,49.08554087336778,0,
2025-01-01 08:43:45.500692,172.16.202.207,192.168.82.66,TCP,43924,1433.002575667265,195,20.78537833404797,0,
2024-12-31 23:09:30.500767,192.168.35.82,172.16.214.213,TCP,61423,2743.185347142109,74,18.213429307080553,0,
2024-12-31 22:54:42.500839,172.16.88.60,172.16.192.170,ICMP,39395,2600.231472930159,173,30.921471720089286,0,
2025-01-01 10:50:01.500920,172.16.135.96,192.168.241.18,TCP,65390,2053.545945842256,154,45.70101939892477,0,
2025-01-01 04:46:24.501040,172.16.146.17,192.168.8.117,UDP,2446,3627.291598363488,108,64.3232048886425,0,
2025-01-01 06:31:31.501117,10.0.241.84,10.0.126.78,TCP,55401,4125.37008999561,42,55.362147891669856,0,
2025-01-01 10:19:20.501197,192.168.157.56,10.0.49.208,TCP,52767,2569.102728177359,147,8.995896621047955,0,
2025-01-01 12:56:31.501284,10.0.187.72,10.0.18.62,TCP,52102,2791.1147629986285,158,123.19068885550475,0,
2025-01-01 06:34:25.501368,10.0.121.143,10.0.23.181,TCP,51600,3039.813474092314,114,4.5874733589152905,0,
2025-01-01 11:28:10.501521,192.168.25.40,192.168.161.126,TCP,1530,2661.150198700281,176,51.565161487831055,0,
