timestamp,source_ip,dest_ip,protocol,port,bytes,packets,duration,is_attack,pattern_type
2025-01-06 22:17:47.012088,206.176.96.125,192.168.96.30,TCP,443,1720,13,0.5655494524147597,0,normal
2025-01-06 20:33:50.012261,192.168.164.1,192.168.181.142,TCP,443,997,14,0.21432795673588007,0,normal
2025-01-06 03:36:37.012359,192.168.69.17,192.168.84.248,TCP,53,359,10,0.11416018292112688,0,normal
2025-01-06 16:14:33.012443,201.64.7.11,192.168.120.48,TCP,80,1148,11,0.23175756527748317,0,normal
2025-01-06 19:26:36.012561,192.168.188.131,192.168.180.157,UDP,443,133,12,0.660558670040457,0,normal
2025-01-06 23:37:14.012661,111.63.10.105,192.168.171.103,TCP,80,509,9,1.5315589177664077,0,normal
2025-01-06 21:13:54.012775,192.168.241.60,192.168.229.93,TCP,80,982,3,0.28386690539438775,0,normal
2025-01-06 05:03:59.012855,31.131.122.225,192.168.2.54,TCP,443,628,13,1.3142244191445163,0,normal
2025-01-06 10:42:20.012964,192.168.112.102,192.168.90.204,TCP,53,438,14,0.9471865404613479,0,normal
2025-01-06 19:18:52.013040,206.203.9.10,192.168.131.206,TCP,443,1594,14,1.0346585695445465,0,normal
2025-01-06 18:51:41.013147,192.168.204.168,192.168.145.82,UDP,80,160,5,0.26798385586457024,0,normal
2025-01-06 10:24:03.013222,192.168.80.186,192.168.67.36,UDP,123,943,6,0.37480462806177023,0,normal
2025-01-06 04:28:27.013296,207.19.119.128,192.168.52.175,TCP,80,1889,14,1.2096895552061135,0,normal
2025-01-06 06:34:34.013402,212.32.13.208,192.168.83.36,TCP,443,1390,13,0.9640193597470924,0,normal
2025-01-06 01:55:59.013504,192.168.214.112,192.168.78.4,TCP,80,689,9,0.863953284302958,0,normal
2025-01-06 06:06:48.013578,210.155.205.125,192.168.238.236,TCP,80,1494,10,0.7258346510951719,0,normal
2025-01-06 06:50:18.013718,221.48.76.92,192.168.254.105,TCP,443,688,10,1.2172486977227046,0,normal
2025-01-06 20:17:01.013832,6.212.234.204,192.168.91.47,TCP,80,1675,13,1.02943960564957,0,normal
2025-01-06 14:12:34.013948,63.241.150.137,192.168.210.147,TCP,443,1806,16,0.11699476630537851,0,normal
2025-01-06 05:55:56.014076,219.197.198.80,192.168.101.232,TCP,80,1308,8,1.9205657279482082,0,normal
2025-01-06 23:26:51.014184,156.18.219.218,192.168.99.243,TCP,443,1671,14,0.23697337760765708,0,normal
2025-01-06 11:37:39.014288,204.75.132.146,192.168.16.162,TCP,80,1060,5,1.2652010342242714,0,normal
2025-01-06 03:30:06.014391,192.168.173.116,192.168.7.69,TCP,53,529,13,0.8562313895294114,0,normal
2025-01-06 19:20:53.014468,198.153.13.197,192.168.75.186,TCP,443,1983,10,0.762865212004397,0,normal
2025-01-06 11:08:15.014571,192.168.249.97,192.168.243.250,UDP,80,1120,2,0.9986563761246583,0,normal
2025-01-06 21:31:31.014711,192.168.73.46,192.168.24.181,TCP,443,994,14,0.1319122472486397,0,normal
2025-01-06 23:08:39.014821,3.208.225.101,192.168.74.40,TCP,443,1773,11,0.5931584873678245,0,normal
2025-01-06 06:05:28.014943,192.168.180.219,192.168.207.82,TCP,80,950,3,0.05580265730400253,0,normal
2025-01-06 03:26:50.015030,192.168.238.132,192.168.162.152,UDP,123,349,7,0.16764202611435083,0,normal
2025-01-06 12:16:45.015113,20.83.159.57,192.168.167.48,TCP,80,747,17,0.37371829377784915,0,normal
2025-01-06 23:21:54.015229,190.23.236.172,192.168.10.198,TCP,80,580,9,0.16390188878233777,0,normal
2025-01-06 15:29:53.015344,69.193.28.77,192.168.20.220,TCP,80,846,18,0.7521050884365271,0,normal
2025-01-06 22:48:05.015453,179.211.248.38,192.168.49.223,TCP,80,703,12,0.28823818915721133,0,normal
2025-01-06 05:29:44.015565,211.177.206.222,192.168.132.163,TCP,443,1255,16,1.4146773944272124,0,normal
2025-01-06 09:27:53.015755,204.204.13.63,192.168.221.208,TCP,443,1209,8,1.896674519650574,0,normal
2025-01-06 14:28:08.015959,192.168.204.247,192.168.171.194,UDP,53,844,12,0.21615842901081384,0,normal
2025-01-06 08:53:20.016121,192.168.120.5,192.168.128.30,UDP,80,887,7,0.6648569836132563,0,normal
2025-01-06 13:47:07.016287,112.51.111.109,192.168.184.4,TCP,80,640,15,1.3132338142828597,0,normal
2025-01-06 13:03:10.016494,192.168.180.6,192.168.173.14,TCP,80,1219,6,0.5368035627596551,0,normal
2025-01-06 01:24:44.016580,87.229.128.145,192.168.125.114,TCP,80,1797,11,1.9102945110992575,0,normal
2025-01-06 22:48:08.016705,115.222.32.43,192.168.91.95,TCP,443,1582,5,0.38378503505561623,0,normal
2025-01-06 20:07:44.016886,16.175.54.134,192.168.73.250,TCP,443,1524,19,0.9650564776756861,0,normal
2025-01-06 11:20:57.016991,192.168.38.73,192.168.254.7,UDP,443,221,5,0.3036629779352301,0,normal
2025-01-06 11:53:00.017068,218.73.221.46,192.168.135.151,TCP,443,1359,7,1.9324675762045562,0,normal
2025-01-06 11:37:09.017175,183.12.132.238,192.168.194.106,TCP,80,1818,15,1.8414873833428143,0,normal
2025-01-06 21:00:54.017279,75.51.94.53,192.168.74.242,TCP,80,1949,6,1.7008010434108012,0,normal
2025-01-06 13:31:08.017381,208.44.143.218,192.168.84.46,TCP,443,1520,19,0.7982310598129606,0,normal
2025-01-06 08:56:24.017483,192.168.107.82,192.168.243.19,TCP,443,1342,5,0.7138763574563717,0,normal
2025-01-06 03:21:40.017556,192.168.162.129,192.168.79.120,TCP,443,438,4,0.17304126666494643,0,normal
2025-01-06 15:59:59.017643,192.168.15.249,192.168.4.159,UDP,80,814,6,0.921090723067022,0,normal
2025-01-06 08:38:50.017719,215.214.85.176,192.168.233.147,TCP,443,1271,14,1.332002916283737,0,normal
2025-01-06 15:35:08.017891,192.168.181.53,192.168.219.249,UDP,123,114,4,0.6514789743057975,0,normal
2025-01-06 04:29:42.017979,201.8.85.56,192.168.209.120,TCP,80,1143,5,1.6051580912562908,0,normal
2025-01-06 06:33:59.018114,192.168.83.41,192.168.217.27,TCP,123,552,3,0.8182071566991264,0,normal
